overall_pick,round,team,player,position,nfl_team,adp,sigma,pick_prob,top1,top2,top3
1,1,1,Ja'Marr Chase,WR,Cincinnati Bengals,3.3,1.83,0.1620,"Bijan Robinson (0.3463, ADP 1.4)","Jahmyr Gibbs (0.3185, ADP 1.8)","Ja'Marr Chase (0.1620, ADP 3.3)"
2,1,2,Jahmyr Gibbs,RB,Detroit Lions,1.8,1.68,0.3273,"Jahmyr Gibbs (0.3273, ADP 1.8)","Bijan Robinson (0.3083, ADP 1.4)","Puka Nacua (0.1894, ADP 4.0)"
3,1,3,Jonathan Taylor,RB,Indianapolis Colts,6.3,2.13,0.1136,"Puka Nacua (0.3286, ADP 4.0)","Bijan Robinson (0.2345, ADP 1.4)","Jaxon Smith-Njigba (0.2187, ADP 5.1)"
4,1,4,Jaxon Smith-Njigba,WR,Seattle Seahawks,5.1,2.01,0.3055,"Puka Nacua (0.3549, ADP 4.0)","Jaxon Smith-Njigba (0.3055, ADP 5.1)","Christian McCaffrey (0.1058, ADP 7.5)"
5,1,5,Puka Nacua,WR,Los Angeles Rams,4.0,1.90,0.3724,"Puka Nacua (0.3724, ADP 4.0)","Christian McCaffrey (0.2307, ADP 7.5)","CeeDee Lamb (0.1336, ADP 8.6)"
6,1,6,Ashton Jeanty,RB,Las Vegas Raiders,11.9,2.69,0.0372,"Christian McCaffrey (0.3303, ADP 7.5)","CeeDee Lamb (0.2248, ADP 8.6)","Amon-Ra St. Brown (0.1975, ADP 8.9)"
7,1,7,Justin Jefferson,WR,Minnesota Vikings,10.0,2.50,0.1418,"Christian McCaffrey (0.2842, ADP 7.5)","CeeDee Lamb (0.2315, ADP 8.6)","Amon-Ra St. Brown (0.2124, ADP 8.9)"
8,1,8,James Cook,RB,Buffalo Bills,11.0,2.60,0.1388,"Christian McCaffrey (0.2636, ADP 7.5)","CeeDee Lamb (0.2615, ADP 8.6)","Amon-Ra St. Brown (0.2516, ADP 8.9)"
9,1,9,Christian McCaffrey,RB,San Francisco 49ers,7.5,2.25,0.2340,"Amon-Ra St. Brown (0.2919, ADP 8.9)","CeeDee Lamb (0.2880, ADP 8.6)","Christian McCaffrey (0.2340, ADP 7.5)"
10,1,10,Amon-Ra St. Brown,WR,Detroit Lions,8.9,2.39,0.3088,"Amon-Ra St. Brown (0.3088, ADP 8.9)","CeeDee Lamb (0.2879, ADP 8.6)","De'Von Achane (0.1555, ADP 13.6)"
