overall_pick,round,team,player,position,nfl_team,adp,sigma,pick_prob,top1,top2,top3
11,1,11,De'Von Achane,RB,Miami Dolphins,13.6,2.86,0.2580,"De'Von Achane (0.2580, ADP 13.6)","CeeDee Lamb (0.2326, ADP 8.6)","Omarion Hampton (0.1425, ADP 15.3)"
12,1,12,Drake London,WR,Atlanta Falcons,19.6,3.46,0.0357,"Omarion Hampton (0.2202, ADP 15.3)","Jeremiyah Love (0.1995, ADP 15.6)","Saquon Barkley (0.1671, ADP 16.1)"
13,2,12,Saquon Barkley,RB,Philadelphia Eagles,16.1,3.11,0.1861,"Omarion Hampton (0.2292, ADP 15.3)","Jeremiyah Love (0.2131, ADP 15.6)","Saquon Barkley (0.1861, ADP 16.1)"
14,2,11,Trey McBride,TE,Arizona Cardinals,18.8,3.38,0.1030,"Omarion Hampton (0.2576, ADP 15.3)","Jeremiyah Love (0.2464, ADP 15.6)","Malik Nabers (0.1399, ADP 17.9)"
15,2,10,Jeremiyah Love,RB,,15.6,3.06,0.2456,"Omarion Hampton (0.2491, ADP 15.3)","Jeremiyah Love (0.2456, ADP 15.6)","Malik Nabers (0.1698, ADP 17.9)"
16,2,9,Omarion Hampton,RB,Los Angeles Chargers,15.3,3.03,0.2567,"Omarion Hampton (0.2567, ADP 15.3)","Malik Nabers (0.2232, ADP 17.9)","Kenneth Walker III (0.1913, ADP 18.7)"
17,2,8,Derrick Henry,RB,Baltimore Ravens,20.4,3.54,0.1692,"Malik Nabers (0.2585, ADP 17.9)","Kenneth Walker III (0.2363, ADP 18.7)","Derrick Henry (0.1692, ADP 20.4)"
18,2,7,Malik Nabers,WR,New York Giants,17.9,3.29,0.2583,"Malik Nabers (0.2583, ADP 17.9)","Kenneth Walker III (0.2529, ADP 18.7)","Chase Brown (0.1478, ADP 21.9)"
19,2,6,Nico Collins,WR,Houston Texans,24.3,3.93,0.1089,"Kenneth Walker III (0.2694, ADP 18.7)","Chase Brown (0.1986, ADP 21.9)","Brock Bowers (0.1440, ADP 23.3)"
20,2,5,George Pickens,WR,Dallas Cowboys,23.9,3.89,0.1500,"Kenneth Walker III (0.2301, ADP 18.7)","Chase Brown (0.2171, ADP 21.9)","Brock Bowers (0.1710, ADP 23.3)"
21,2,4,Josh Jacobs,RB,Green Bay Packers,27.2,4.22,0.0842,"Chase Brown (0.2406, ADP 21.9)","Brock Bowers (0.2070, ADP 23.3)","Kenneth Walker III (0.1964, ADP 18.7)"
22,2,3,Chase Brown,RB,Cincinnati Bengals,21.9,3.69,0.2379,"Chase Brown (0.2379, ADP 21.9)","Brock Bowers (0.2247, ADP 23.3)","Kenneth Walker III (0.1474, ADP 18.7)"
23,2,2,Rashee Rice,WR,Kansas City Chiefs,34.9,4.99,0.0154,"Brock Bowers (0.2636, ADP 23.3)","Chris Olave (0.1646, ADP 27.1)","Kenneth Walker III (0.1171, ADP 18.7)"
24,2,1,Tee Higgins,WR,Cincinnati Bengals,33.1,4.81,0.0380,"Brock Bowers (0.2240, ADP 23.3)","Chris Olave (0.1737, ADP 27.1)","Josh Allen (0.1167, ADP 29.1)"
25,3,1,Tetairoa McMillan,WR,Carolina Panthers,31.6,4.66,0.0746,"Brock Bowers (0.1843, ADP 23.3)","Chris Olave (0.1796, ADP 27.1)","Josh Allen (0.1320, ADP 29.1)"
26,3,2,Chris Olave,WR,New Orleans Saints,27.1,4.21,0.1863,"Chris Olave (0.1863, ADP 27.1)","Josh Allen (0.1506, ADP 29.1)","Brock Bowers (0.1504, ADP 23.3)"
27,3,3,A.J. Brown,WR,Philadelphia Eagles,29.3,4.43,0.1804,"Josh Allen (0.1843, ADP 29.1)","A.J. Brown (0.1804, ADP 29.3)","Travis Etienne Jr. (0.1607, ADP 30.2)"
28,3,4,Brock Bowers,TE,Las Vegas Raiders,23.3,3.83,0.1034,"Josh Allen (0.2128, ADP 29.1)","Travis Etienne Jr. (0.1950, ADP 30.2)","Breece Hall (0.1503, ADP 32.1)"
29,3,5,Josh Allen,QB,Buffalo Bills,29.1,4.41,0.2051,"Josh Allen (0.2051, ADP 29.1)","Travis Etienne Jr. (0.1981, ADP 30.2)","Breece Hall (0.1652, ADP 32.1)"
30,3,6,Bucky Irving,RB,Tampa Bay Buccaneers,37.2,5.22,0.0821,"Travis Etienne Jr. (0.2122, ADP 30.2)","Breece Hall (0.1923, ADP 32.1)","Kyren Williams (0.1476, ADP 34.2)"
31,3,7,Emeka Egbuka,WR,Tampa Bay Buccaneers,39.1,5.41,0.0640,"Travis Etienne Jr. (0.1932, ADP 30.2)","Breece Hall (0.1910, ADP 32.1)","Kyren Williams (0.1588, ADP 34.2)"
32,3,8,Jaylen Waddle,WR,Denver Broncos,47.2,6.22,0.0092,"Breece Hall (0.1828, ADP 32.1)","Travis Etienne Jr. (0.1689, ADP 30.2)","Kyren Williams (0.1655, ADP 34.2)"
33,3,9,Kyren Williams,RB,Los Angeles Rams,34.2,4.92,0.1594,"Breece Hall (0.1612, ADP 32.1)","Kyren Williams (0.1594, ADP 34.2)","Travis Etienne Jr. (0.1355, ADP 30.2)"
34,3,10,Garrett Wilson,WR,New York Jets,36.5,5.15,0.1545,"Breece Hall (0.1603, ADP 32.1)","Garrett Wilson (0.1545, ADP 36.5)","Travis Etienne Jr. (0.1221, ADP 30.2)"
35,3,11,Javonte Williams,RB,Dallas Cowboys,40.1,5.51,0.1195,"Breece Hall (0.1517, ADP 32.1)","Ladd McConkey (0.1463, ADP 38.6)","Javonte Williams (0.1195, ADP 40.1)"
36,3,12,Breece Hall,RB,New York Jets,32.1,4.71,0.1327,"Ladd McConkey (0.1662, ADP 38.6)","Breece Hall (0.1327, ADP 32.1)","Zay Flowers (0.1291, ADP 40.8)"
37,4,12,Ladd McConkey,WR,Los Angeles Chargers,38.6,5.36,0.1776,"Ladd McConkey (0.1776, ADP 38.6)","Zay Flowers (0.1473, ADP 40.8)","DeVonta Smith (0.1387, ADP 41.3)"
38,4,11,Luther Burden,WR,Chicago Bears,42.2,5.72,0.1467,"Zay Flowers (0.1693, ADP 40.8)","DeVonta Smith (0.1617, ADP 41.3)","Luther Burden (0.1467, ADP 42.2)"
39,4,10,DeVonta Smith,WR,Philadelphia Eagles,41.3,5.63,0.1765,"Zay Flowers (0.1821, ADP 40.8)","DeVonta Smith (0.1765, ADP 41.3)","Jameson Williams (0.1129, ADP 45.2)"
40,4,9,Davante Adams,WR,Los Angeles Rams,49.1,6.41,0.0717,"Zay Flowers (0.1945, ADP 40.8)","Jameson Williams (0.1353, ADP 45.2)","Colston Loveland (0.1176, ADP 46.2)"
41,4,8,Colston Loveland,TE,Chicago Bears,46.2,6.12,0.1261,"Zay Flowers (0.1809, ADP 40.8)","Jameson Williams (0.1419, ADP 45.2)","Colston Loveland (0.1261, ADP 46.2)"
42,4,7,Quinshon Judkins,RB,Cleveland Browns,54.0,6.90,0.0394,"Zay Flowers (0.1745, ADP 40.8)","Jameson Williams (0.1551, ADP 45.2)","Terry McLaurin (0.1259, ADP 47.2)"
43,4,6,Lamar Jackson,QB,Baltimore Ravens,51.2,6.62,0.0755,"Jameson Williams (0.1521, ADP 45.2)","Zay Flowers (0.1505, ADP 40.8)","Terry McLaurin (0.1295, ADP 47.2)"
44,4,5,Terry McLaurin,WR,Washington Commanders,47.2,6.22,0.1369,"Jameson Williams (0.1532, ADP 45.2)","Terry McLaurin (0.1369, ADP 47.2)","Zay Flowers (0.1326, ADP 40.8)"
45,4,4,Carnell Tate,WR,,56.6,7.16,0.0434,"Jameson Williams (0.1613, ADP 45.2)","TreVeyon Henderson (0.1409, ADP 48.3)","Mike Evans (0.1265, ADP 49.5)"
46,4,3,David Montgomery,RB,Houston Texans,57.1,7.21,0.0465,"Jameson Williams (0.1508, ADP 45.2)","TreVeyon Henderson (0.1424, ADP 48.3)","Mike Evans (0.1313, ADP 49.5)"
47,4,2,Mike Evans,WR,San Francisco 49ers,49.5,6.45,0.1350,"TreVeyon Henderson (0.1425, ADP 48.3)","Jameson Williams (0.1392, ADP 45.2)","Mike Evans (0.1350, ADP 49.5)"
48,4,1,TreVeyon Henderson,RB,New England Patriots,48.3,6.33,0.1533,"TreVeyon Henderson (0.1533, ADP 48.3)","Jameson Williams (0.1377, ADP 45.2)","Rome Odunze (0.1183, ADP 52.9)"
49,5,1,Christian Watson,WR,Green Bay Packers,58.8,7.38,0.0675,"Rome Odunze (0.1382, ADP 52.9)","Jameson Williams (0.1335, ADP 45.2)","D.J. Moore (0.1253, ADP 54.0)"
50,5,2,Jameson Williams,WR,Detroit Lions,45.2,6.02,0.1150,"Rome Odunze (0.1442, ADP 52.9)","D.J. Moore (0.1335, ADP 54.0)","Jameson Williams (0.1150, ADP 45.2)"
51,5,3,D.J. Moore,WR,Buffalo Bills,54.0,6.90,0.1429,"Rome Odunze (0.1510, ADP 52.9)","D.J. Moore (0.1429, ADP 54.0)","Bhayshul Tuten (0.1203, ADP 56.2)"
52,5,4,Zay Flowers,WR,Baltimore Ravens,40.8,5.58,0.0214,"Rome Odunze (0.1590, ADP 52.9)","Bhayshul Tuten (0.1348, ADP 56.2)","Cam Skattebo (0.1338, ADP 56.3)"
53,5,5,RJ Harvey,RB,Denver Broncos,66.4,8.14,0.0370,"Rome Odunze (0.1433, ADP 52.9)","Bhayshul Tuten (0.1295, ADP 56.2)","Cam Skattebo (0.1287, ADP 56.3)"
54,5,6,Makai Lemon,WR,,63.5,7.85,0.0634,"Rome Odunze (0.1301, ADP 52.9)","Bhayshul Tuten (0.1256, ADP 56.2)","Cam Skattebo (0.1251, ADP 56.3)"
55,5,7,Joe Burrow,QB,Cincinnati Bengals,64.8,7.98,0.0594,"Bhayshul Tuten (0.1244, ADP 56.2)","Cam Skattebo (0.1241, ADP 56.3)","Rome Odunze (0.1203, ADP 52.9)"
56,5,8,Alec Pierce,WR,Indianapolis Colts,68.9,8.39,0.0373,"Bhayshul Tuten (0.1216, ADP 56.2)","Cam Skattebo (0.1216, ADP 56.3)","Rome Odunze (0.1096, ADP 52.9)"
57,5,9,Brian Thomas,WR,Jacksonville Jaguars,61.7,7.67,0.0961,"Cam Skattebo (0.1154, ADP 56.3)","Bhayshul Tuten (0.1152, ADP 56.2)","D'Andre Swift (0.1023, ADP 60.8)"
58,5,10,Marvin Harrison,WR,Arizona Cardinals,64.8,7.98,0.0824,"Cam Skattebo (0.1151, ADP 56.3)","Bhayshul Tuten (0.1147, ADP 56.2)","D'Andre Swift (0.1106, ADP 60.8)"
59,5,11,Bhayshul Tuten,RB,Jacksonville Jaguars,56.2,7.12,0.1110,"D'Andre Swift (0.1166, ADP 60.8)","Cam Skattebo (0.1116, ADP 56.3)","Bhayshul Tuten (0.1110, ADP 56.2)"
60,5,12,Cam Skattebo,RB,New York Giants,56.3,7.13,0.1082,"D'Andre Swift (0.1231, ADP 60.8)","Jayden Daniels (0.1160, ADP 62.8)","Cam Skattebo (0.1082, ADP 56.3)"
61,6,12,Drake Maye,QB,New England Patriots,72.0,8.70,0.0564,"D'Andre Swift (0.1254, ADP 60.8)","Jayden Daniels (0.1221, ADP 62.8)","Tyler Warren (0.0879, ADP 68.0)"
62,6,11,Jalen Hurts,QB,Philadelphia Eagles,69.7,8.47,0.0800,"Jayden Daniels (0.1202, ADP 62.8)","D'Andre Swift (0.1194, ADP 60.8)","Tyler Warren (0.0931, ADP 68.0)"
63,6,10,Parker Washington,WR,Jacksonville Jaguars,72.9,8.79,0.0637,"Jayden Daniels (0.1201, ADP 62.8)","D'Andre Swift (0.1152, ADP 60.8)","Tyler Warren (0.1002, ADP 68.0)"
64,6,9,Jaylen Warren,RB,Pittsburgh Steelers,78.0,9.30,0.0380,"Jayden Daniels (0.1165, ADP 62.8)","D'Andre Swift (0.1079, ADP 60.8)","Tyler Warren (0.1050, ADP 68.0)"
65,6,8,Courtland Sutton,WR,Denver Broncos,74.8,8.98,0.0625,"Jayden Daniels (0.1089, ADP 62.8)","Tyler Warren (0.1062, ADP 68.0)","Caleb Williams (0.1023, ADP 68.8)"
66,6,7,Chuba Hubbard,RB,Carolina Panthers,73.8,8.88,0.0765,"Tyler Warren (0.1093, ADP 68.0)","Caleb Williams (0.1064, ADP 68.8)","Jayden Daniels (0.1034, ADP 62.8)"
67,6,6,DK Metcalf,WR,Pittsburgh Steelers,77.3,9.23,0.0610,"Tyler Warren (0.1129, ADP 68.0)","Caleb Williams (0.1111, ADP 68.8)","Jordyn Tyson (0.1036, ADP 70.7)"
68,6,5,Caleb Williams,QB,Chicago Bears,68.8,8.38,0.1131,"Tyler Warren (0.1136, ADP 68.0)","Caleb Williams (0.1131, ADP 68.8)","Jordyn Tyson (0.1081, ADP 70.7)"
69,6,4,D'Andre Swift,RB,Chicago Bears,60.8,7.58,0.0665,"Tyler Warren (0.1185, ADP 68.0)","Jordyn Tyson (0.1171, ADP 70.7)","Jayden Daniels (0.0869, ADP 62.8)"
70,6,3,Rhamondre Stevenson,RB,New England Patriots,78.8,9.38,0.0757,"Jordyn Tyson (0.1171, ADP 70.7)","Tyler Warren (0.1141, ADP 68.0)","Michael Wilson (0.0839, ADP 77.6)"
71,6,2,Jordyn Tyson,WR,,70.7,8.57,0.1170,"Jordyn Tyson (0.1170, ADP 70.7)","Tyler Warren (0.1096, ADP 68.0)","Michael Wilson (0.0908, ADP 77.6)"
72,6,1,Dak Prescott,QB,Dallas Cowboys,80.8,9.58,0.0792,"Tyler Warren (0.1076, ADP 68.0)","Michael Wilson (0.1006, ADP 77.6)","Harold Fannin (0.0841, ADP 80.1)"
